"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","13","should test response time","chromium","Mon Aug 04 12:41:40 GMT 2025","passed","Mon Aug 04 12:41:40 GMT 2025","API Testing","","",""
"","1329","should logout successfully","chromium","Mon Aug 04 12:41:45 GMT 2025","passed","Mon Aug 04 12:41:46 GMT 2025","Login Functionality","","",""
"","399","has title","chromium","Mon Aug 04 12:41:41 GMT 2025","passed","Mon Aug 04 12:41:41 GMT 2025","","","",""
"","8","should verify page content","chromium","Mon Aug 04 12:41:40 GMT 2025","passed","Mon Aug 04 12:41:40 GMT 2025","API Testing","","",""
"","479","should add multiple items to cart","chromium","Mon Aug 04 12:41:47 GMT 2025","passed","Mon Aug 04 12:41:48 GMT 2025","Shopping Cart Functionality","","",""
"","94","should handle non-existent endpoints","chromium","Mon Aug 04 12:41:40 GMT 2025","passed","Mon Aug 04 12:41:40 GMT 2025","API Testing","","",""
"","12","should verify response headers","chromium","Mon Aug 04 12:41:40 GMT 2025","passed","Mon Aug 04 12:41:40 GMT 2025","API Testing","","",""
"","526","should continue shopping from cart","chromium","Mon Aug 04 12:41:49 GMT 2025","passed","Mon Aug 04 12:41:49 GMT 2025","Shopping Cart Functionality","","",""
"","126","should mock API response","chromium","Mon Aug 04 12:41:41 GMT 2025","passed","Mon Aug 04 12:41:41 GMT 2025","API Testing","","",""
"","358","should show error for locked out user","chromium","Mon Aug 04 12:41:43 GMT 2025","passed","Mon Aug 04 12:41:44 GMT 2025","Login Functionality","","",""
"","236","should update API data and validate response","chromium","Mon Aug 04 12:41:41 GMT 2025","passed","Mon Aug 04 12:41:41 GMT 2025","API Testing","","",""
"","443","should login successfully with valid credentials","chromium","Mon Aug 04 12:41:43 GMT 2025","passed","Mon Aug 04 12:41:43 GMT 2025","Login Functionality","","",""
"","425","should display all inventory items","chromium","Mon Aug 04 12:41:46 GMT 2025","passed","Mon Aug 04 12:41:47 GMT 2025","Shopping Cart Functionality","","",""
"","500","should view cart with added items","chromium","Mon Aug 04 12:41:48 GMT 2025","passed","Mon Aug 04 12:41:48 GMT 2025","Shopping Cart Functionality","","",""
"","376","should show error for Invalid password","chromium","Mon Aug 04 12:41:44 GMT 2025","passed","Mon Aug 04 12:41:44 GMT 2025","Login Functionality > Invalid Login Attempts","","",""
"","784","get started link","chromium","Mon Aug 04 12:41:41 GMT 2025","passed","Mon Aug 04 12:41:42 GMT 2025","","","",""
"","408","should display login page correctly","chromium","Mon Aug 04 12:41:42 GMT 2025","passed","Mon Aug 04 12:41:43 GMT 2025","Login Functionality","","",""
"","174","Mock login API should return correct structure","chromium","Mon Aug 04 12:41:40 GMT 2025","passed","Mon Aug 04 12:41:40 GMT 2025","API Testing","","",""
"","513","should proceed to checkout","chromium","Mon Aug 04 12:41:49 GMT 2025","passed","Mon Aug 04 12:41:50 GMT 2025","Shopping Cart Functionality","","",""
"","20","should fetch and validate API data structure","chromium","Mon Aug 04 12:41:40 GMT 2025","passed","Mon Aug 04 12:41:41 GMT 2025","API Testing","","",""
"","363","should show error for Empty username","chromium","Mon Aug 04 12:41:44 GMT 2025","passed","Mon Aug 04 12:41:45 GMT 2025","Login Functionality > Invalid Login Attempts","","",""
"","365","should show error for Invalid username","chromium","Mon Aug 04 12:41:44 GMT 2025","passed","Mon Aug 04 12:41:44 GMT 2025","Login Functionality > Invalid Login Attempts","","",""
"","148","should check website accessibility","chromium","Mon Aug 04 12:41:40 GMT 2025","passed","Mon Aug 04 12:41:40 GMT 2025","API Testing","","",""
"","373","should show error for Empty password","chromium","Mon Aug 04 12:41:45 GMT 2025","passed","Mon Aug 04 12:41:45 GMT 2025","Login Functionality > Invalid Login Attempts","","",""
"","494","should remove item from cart","chromium","Mon Aug 04 12:41:48 GMT 2025","passed","Mon Aug 04 12:41:49 GMT 2025","Shopping Cart Functionality","","",""
"","468","should add item to cart","chromium","Mon Aug 04 12:41:47 GMT 2025","passed","Mon Aug 04 12:41:47 GMT 2025","Shopping Cart Functionality","","",""
